token_order,GameId,PlayId,Team,X,Y,S,A,Dis,Orientation,Dir,NflId,DisplayName,JerseyNumber,Season,YardLine,Quarter,GameClock,PossessionTeam,Down,Distance,FieldPosition,HomeScoreBeforePlay,VisitorScoreBeforePlay,NflIdRusher,OffenseFormation,OffensePersonnel,DefendersInTheBox,DefensePersonnel,PlayDirection,TimeHandoff,TimeSnap,Yards,Position,HomeTeamAbbr,VisitorTeamAbbr,Week,IsRusher,ToLeft,TeamOnOffense,IsOnOffense,team_abbr,role,S_model,Dir_rad,X_std,Y_std,Dir_std,Sx,Sy,player_minus_rusher_x,player_minus_rusher_y,player_minus_rusher_Sx,player_minus_rusher_Sy,token_group,line_of_scrimmage_x_raw,line_of_scrimmage_x_std
11,2019091600,20190916000078,away,35.07,30.489999999999998,1.1599999999999999,2.8900000000000001,0.10000000000000001,108.5,31.620000000000001,2557986,David Njoku,85,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,TE,NYJ,CLE,2,False,False,away,True,CLE,offense,1.1599999999999999,1.0189232173142895,35.07,30.489999999999998,1.0189232173142895,0.60816849207998025,0.98779101293804183,-3.2600000000000016,-6.8399999999999999,0.56767440061159424,3.6968961155377449,1,37,37
12,2019091600,20190916000078,home,39.049999999999997,9.6999999999999993,4.2400000000000002,3.3300000000000001,0.40999999999999998,229.58000000000001,106.41,2558108,Nate Hairston,21,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,CB,NYJ,CLE,2,False,False,away,False,NYJ,defense,4.2400000000000002,5.9967767769273177,39.049999999999997,9.6999999999999993,5.9967767769273177,4.067282251886712,-1.197837669923334,-7.2399999999999984,13.949999999999999,-2.8914393591951377,5.8825247983991211,2,37,37
13,2019091600,20190916000078,home,35.259999999999998,18.670000000000002,4.6399999999999997,2.7599999999999998,0.46999999999999997,303.23000000000002,330.70999999999998,2557979,Jamal Adams,33,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,SS,NYJ,CLE,2,False,False,away,False,NYJ,defense,4.6399999999999997,2.0820032647040358,35.259999999999998,18.670000000000002,2.0820032647040358,-2.2700283112558903,4.0467976804007293,-3.4499999999999993,4.9799999999999969,3.4458712039474646,0.63788944807505743,2,37,37
14,2019091600,20190916000078,home,42.280000000000001,21.18,5.5300000000000002,2.4700000000000002,0.56000000000000005,236.21000000000001,187.71000000000001,2553353,Darryl Roberts,27,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,CB,NYJ,CLE,2,False,False,away,False,NYJ,defense,5.5300000000000002,4.5778240950559264,42.280000000000001,21.18,4.5778240950559264,-0.74190005843067008,-5.4800076919015881,-10.470000000000002,2.4699999999999989,1.9177429511222446,10.164694820377374,2,37,37
15,2019091600,20190916000078,home,35.630000000000003,22.960000000000001,4.1900000000000004,0.87,0.44,304.55000000000001,332.88,2552272,Henry Anderson,96,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,DE,NYJ,CLE,2,False,False,away,False,NYJ,defense,4.1900000000000004,2.044129619935759,35.630000000000003,22.960000000000001,2.044129619935759,-1.910035057703066,3.7293251505259297,-3.8200000000000038,0.68999999999999773,3.0858779503946403,0.955361977949857,2,37,37
16,2019091600,20190916000078,home,52.840000000000003,23.02,1.5800000000000001,1.7,0.14999999999999999,279.81,0.32000000000000001,2557995,Marcus Maye,20,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,FS,NYJ,CLE,2,False,False,away,False,NYJ,defense,1.5800000000000001,1.5652112731885148,52.840000000000003,23.02,1.5652112731885148,0.0088243388219086272,1.5799753577332643,-21.030000000000005,0.62999999999999901,1.1670185538696658,3.1047117707425222,2,37,37
17,2019091600,20190916000078,home,39.060000000000002,24.379999999999999,4.6600000000000001,2.46,0.45000000000000001,283.42000000000002,336.86000000000001,2562496,Blake Cashman,53,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,LB,NYJ,CLE,2,False,False,away,False,NYJ,defense,4.6600000000000001,1.9746655157063844,39.060000000000002,24.379999999999999,1.9746655157063844,-1.8312829670921298,4.2850907451812787,-7.2500000000000036,-0.73000000000000043,3.0071258597837041,0.39959638329450797,2,37,37
18,2019091600,20190916000078,home,36.340000000000003,26.23,3.3999999999999999,0.75,0.34000000000000002,292.58999999999997,353.89999999999998,2507590,Steve McLendon,99,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,NT,NYJ,CLE,2,False,False,away,False,NYJ,defense,3.3999999999999999,1.6772614111665509,36.340000000000003,26.23,1.6772614111665509,-0.36129784254319358,3.3807490100528956,-4.5300000000000047,-2.5800000000000018,1.5371407352347681,1.3039381184228911,2,37,37
19,2019091600,20190916000078,home,35.840000000000003,27.93,1.53,1.76,0.17999999999999999,273.56,348.94999999999999,2552486,Leonard Williams,92,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,DE,NYJ,CLE,2,False,False,away,False,NYJ,defense,1.53,1.7636552091402702,35.840000000000003,27.93,1.7636552091402702,-0.29324829751604375,1.5016342550714346,-4.0300000000000047,-4.2800000000000011,1.4690911902076182,3.1830528734043524,2,37,37
20,2019091600,20190916000078,home,37.789999999999999,29.59,3.4700000000000002,2.6800000000000002,0.34000000000000002,261.66000000000003,325.12,2553657,Neville Hewitt,46,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,OLB,NYJ,CLE,2,False,False,away,False,NYJ,defense,3.4700000000000002,2.1795671698905186,37.789999999999999,29.59,2.1795671698905186,-1.9843526439902419,2.8466198524370858,-5.9800000000000004,-5.9400000000000013,3.1601955366818162,1.8380672760387009,2,37,37
21,2019091600,20190916000078,home,35.82,30.260000000000002,1.3,1.97,0.12,247.74000000000001,0.46999999999999997,2555256,Jordan Jenkins,48,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,OLB,NYJ,CLE,2,False,False,away,False,NYJ,defense,1.3,1.5625932793105233,35.82,30.260000000000002,1.5625932793105233,0.010663842133778204,1.2999562617530429,-4.0100000000000016,-6.610000000000003,1.1651790505577964,3.3847308667227436,2,37,37
22,2019091600,20190916000078,home,38.350000000000001,34.509999999999998,3.0600000000000001,1.6399999999999999,0.29999999999999999,246.41,320.24000000000001,2556445,Brian Poole,34,2019,27,1,14:19:00,CLV,2,2,CLV,0,0,2561021,SHOTGUN,"1 RB, 2 TE, 2 WR",6,"3 DL, 3 LB, 5 DB",right,2019-09-17T00:17:00.000Z,2019-09-17T00:16:59.000Z,4,CB,NYJ,CLE,2,False,False,away,False,NYJ,defense,3.0600000000000001,2.2647392373878419,38.350000000000001,34.509999999999998,2.2647392373878419,-1.9570939321912533,2.3523144646454432,-6.5400000000000027,-10.859999999999999,3.1329368248828278,2.3323726638303435,2,37,37
